feature,bin_idx,bin_low,bin_high,trades,win_rate,pf,mean_pnl_rel,symbol,profile,share
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,45,0.3333333333333333,0.7322501978640207,-0.00035325974088377114,OZON,,0.0019483049746720352
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,21,0.3333333333333333,0.5789713963027477,-0.0006294123082397001,PIKK,range_v0_aggressive,0.0009092089881802832
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,21,0.3333333333333333,0.5789713963027477,-0.0006294123082397001,PIKK,range_v0_baseline,0.0009092089881802832
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,21,0.3333333333333333,0.5789713963027477,-0.0006294123082397001,PIKK,range_v0_conservative,0.0009092089881802832
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,21,0.3333333333333333,0.5789713963027477,-0.0006294123082397001,PIKK,range_v2_aggressive,0.0009092089881802832
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,21,0.3333333333333333,0.5789713963027477,-0.0006294123082397001,PIKK,range_v2_balanced,0.0009092089881802832
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,21,0.3333333333333333,0.5789713963027477,-0.0006294123082397001,PIKK,range_v2_conservative,0.0009092089881802832
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,21,0.3333333333333333,0.5789713963027477,-0.0006294123082397001,PIKK,,0.0009092089881802832
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,12,0.5,0.7623106166306866,-0.0004202226324842501,PLZL,range_v0_aggressive,0.000519547993245876
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,12,0.5,0.7623106166306866,-0.0004202226324842501,PLZL,range_v0_baseline,0.000519547993245876
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,12,0.5,0.7623106166306866,-0.0004202226324842501,PLZL,range_v0_conservative,0.000519547993245876
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,12,0.5,0.7623106166306866,-0.0004202226324842501,PLZL,range_v2_aggressive,0.000519547993245876
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,12,0.5,0.7623106166306866,-0.0004202226324842501,PLZL,range_v2_balanced,0.000519547993245876
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,12,0.5,0.7623106166306866,-0.0004202226324842501,PLZL,range_v2_conservative,0.000519547993245876
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,12,0.5,0.7623106166306866,-0.0004202226324842501,PLZL,,0.000519547993245876
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,17,0.47058823529411764,0.9947398727886289,-7.4169815461706586e-06,ROSN,range_v0_aggressive,0.0007360263237649911
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,17,0.47058823529411764,0.9947398727886289,-7.4169815461706586e-06,ROSN,range_v0_baseline,0.0007360263237649911
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,17,0.47058823529411764,0.9947398727886289,-7.4169815461706586e-06,ROSN,range_v0_conservative,0.0007360263237649911
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,17,0.47058823529411764,0.9947398727886289,-7.4169815461706586e-06,ROSN,range_v2_aggressive,0.0007360263237649911
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,17,0.47058823529411764,0.9947398727886289,-7.4169815461706586e-06,ROSN,range_v2_balanced,0.0007360263237649911
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,17,0.47058823529411764,0.9947398727886289,-7.4169815461706586e-06,ROSN,range_v2_conservative,0.0007360263237649911
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,17,0.47058823529411764,0.9947398727886289,-7.4169815461706586e-06,ROSN,,0.0007360263237649911
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.5652173913043478,1.1496869418916265,0.00016410310746389124,SBER,range_v0_aggressive,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.5652173913043478,1.1496869418916265,0.00016410310746389124,SBER,range_v0_baseline,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.5652173913043478,1.1496869418916265,0.00016410310746389124,SBER,range_v0_conservative,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.5652173913043478,1.1496869418916265,0.00016410310746389124,SBER,range_v2_aggressive,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.5652173913043478,1.1496869418916265,0.00016410310746389124,SBER,range_v2_balanced,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.5652173913043478,1.1496869418916265,0.00016410310746389124,SBER,range_v2_conservative,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,46,0.5652173913043478,1.1496869418916262,0.0001641031074638912,SBER,,0.001991600640775858
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,10,0.7,1.2665708685725428,0.00042942918267664985,SNGS,range_v0_aggressive,0.0004329566610382301
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,10,0.7,1.2665708685725428,0.00042942918267664985,SNGS,range_v0_baseline,0.0004329566610382301
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,10,0.7,1.2665708685725428,0.00042942918267664985,SNGS,range_v0_conservative,0.0004329566610382301
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,10,0.7,1.2665708685725428,0.00042942918267664985,SNGS,range_v2_aggressive,0.0004329566610382301
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,10,0.7,1.2665708685725428,0.00042942918267664985,SNGS,range_v2_balanced,0.0004329566610382301
