feature_x,feature_y,bin_x_idx,bin_x_low,bin_x_high,bin_y_idx,bin_y_low,bin_y_high,trades,win_rate,pf,mean_pnl_rel,symbol,profile,share
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,33,0.36363636363636365,0.4444574270613011,-0.0011032495516082818,TATN,,0.0014287569814261593
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,1.4288230380760256,0.0005738340810914999,YNDX,range_v0_aggressive,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,1.4288230380760256,0.0005738340810914999,YNDX,range_v0_baseline,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,1.4288230380760256,0.0005738340810914999,YNDX,range_v0_conservative,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,1.4288230380760256,0.0005738340810914999,YNDX,range_v2_aggressive,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,1.4288230380760256,0.0005738340810914999,YNDX,range_v2_balanced,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,1.4288230380760256,0.0005738340810914999,YNDX,range_v2_conservative,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,1.4288230380760256,0.0005738340810914999,YNDX,,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,6,0.6666666666666666,2.1288323795445696,0.0010557226403875835,CHMF,range_v0_aggressive,0.000259773996622938
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,6,0.6666666666666666,2.1288323795445696,0.0010557226403875835,CHMF,range_v0_baseline,0.000259773996622938
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,6,0.6666666666666666,2.1288323795445696,0.0010557226403875835,CHMF,range_v0_conservative,0.000259773996622938
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,6,0.6666666666666666,2.1288323795445696,0.0010557226403875835,CHMF,range_v2_aggressive,0.000259773996622938
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,6,0.6666666666666666,2.1288323795445696,0.0010557226403875835,CHMF,range_v2_balanced,0.000259773996622938
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,6,0.6666666666666666,2.1288323795445696,0.0010557226403875835,CHMF,range_v2_conservative,0.000259773996622938
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,6,0.6666666666666666,2.1288323795445696,0.0010557226403875835,CHMF,,0.000259773996622938
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,2,0.0,0.0,-0.00356659719228925,GAZP,range_v0_aggressive,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,2,0.0,0.0,-0.00356659719228925,GAZP,range_v0_baseline,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,2,0.0,0.0,-0.00356659719228925,GAZP,range_v0_conservative,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,2,0.0,0.0,-0.00356659719228925,GAZP,range_v2_aggressive,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,1,-0.5006577883425565,-0.30803081475310434,2,0.0,0.0,-0.00356659719228925,GAZP,range_v2_balanced,8.659133220764602e-05
