symbol,entry_dt,exit_dt,direction,begin,v3_signal,v3_L,v3_U,v3_M,v3_segment_quality,v3_breakout,ma_close,std_close,band_lower,band_upper,dist_from_ma,band_pos,ret_1,ret_3,ret_6,ret_mean_20,ret_vol_20,atr_14,atr_14_pct,bar_range,bar_range_pct,bar_body,bar_body_pct,hour,day_of_week,z_ma,band_width_pct,edge_proximity,range_vs_atr,body_vs_range,pnl_rel,pnl_abs,bars_in_trade,max_adverse_excursion
YNDX,2022-10-28 11:00:00,2022-10-31 09:00:00+00:00,1,2022-10-28 11:00:00+00:00,1.0,1995.13,2030.98,2013.055,ROLLING,False,2013.2016780685676,13.24380509781049,1993.335970421852,2033.0673857152833,-0.009140504038433908,0.03684816076486635,0.0014056224899599012,,,-0.00033452705586449195,0.0033918661689979267,,,18.40000000000009,0.009223982354120759,2.599999999999909,0.0013033888109083161,11,4,-0.0006901720442824281,0.019735437202470965,0.03684816076486635,,0.1413043478260813,0.0123521155003007,12274.833258546776,70,
YNDX,2022-11-08 14:00:00,2022-11-10 14:00:00+00:00,1,2022-11-08 14:00:00+00:00,1.0,2129.46,2157.96,2143.71,ROLLING,False,2140.095526762776,14.04706139191889,2119.024934674898,2161.166118850654,-0.001259535721217687,0.43603580878188447,0.0031915892236928922,0.004511702227652847,,-0.0002560012574097381,0.0031798519502289893,,,12.0,0.005614297744923739,7.200000000000273,0.003368578646954371,14,1,-8.966542439561651e-05,0.019691263146323804,0.43603580878188447,,0.6000000000000227,-0.021418545896884,-21547.447709234093,48,
YNDX,2022-11-15 14:00:00,2022-11-17 14:00:00+00:00,1,2022-11-15 14:00:00+00:00,1.0,2113.41,2149.15,2131.28,ROLLING,False,2129.614476969463,15.359580451887783,2106.575106291631,2152.6538476472947,-0.0023546407219201485,0.3911759127542524,0.0007536504945830913,0.00625177607274785,,-6.299386970176624e-05,0.007919749136935448,,,18.799999999999727,0.008848724465781665,1.599999999999909,0.0007530829332579823,14,1,-0.000153301109317133,0.02163712815346548,0.3911759127542524,,0.08510638297871981,-0.0057328438294267,-5643.8172700832765,48,
YNDX,2022-11-17 16:00:00,2022-11-21 09:00:00+00:00,1,2022-11-17 16:00:00+00:00,1.0,2087.11,2121.79,2104.45,ROLLING,False,2106.8188455941536,12.935712150572956,2087.415277368294,2126.222413820013,-0.00750840331015381,0.0923727685026648,-0.006367610720395378,-0.007028207807009301,-0.012747875354107596,-0.00042179543419867407,0.003545806484498563,,,14.599999999999909,0.006982305117168775,13.199999999999818,0.0063127690100429545,16,3,-0.0005804398878666486,0.018419778488726644,0.0923727685026648,,0.9041095890410891,0.0,0.0,89,
YNDX,2022-11-25 14:00:00,2022-11-28 09:00:00+00:00,1,2022-11-25 14:00:00+00:00,1.0,2106.16,2147.35,2126.755,ROLLING,False,2122.200499202149,12.713407822318068,2103.130387468672,2141.270610935626,-0.001508104066204922,0.41608598714892436,0.0017018058050486395,-0.002072148441179311,,-0.000467877638189379,0.0028911265531893914,,,7.599999999999909,0.0035865974516280834,3.599999999999909,0.0016989145823501223,14,4,-0.00011862311720681872,0.017972017008427342,0.41608598714892436,,0.4736842105263095,-0.0409627182633317,-40095.41334372066,67,
YNDX,2022-12-01 13:00:00,2022-12-05 09:00:00+00:00,1,2022-12-01 13:00:00+00:00,1.0,1965.55,2000.0,1982.775,ROLLING,False,1986.0230736960775,17.32255158005622,1960.0392463259932,2012.0069010661618,-0.009377068143231113,0.14164105943994756,-0.008566821205402086,-0.011853340030135606,,-0.0005083258674770663,0.0037598184487136178,,,19.799999999999955,0.010064043915827972,17.0,0.008640845786316966,13,3,-0.0005413214156064115,0.026166692335278127,0.14164105943994756,,0.8585858585858606,-0.0014943580359865,-1402.8010432462938,92,
YNDX,2022-12-07 10:00:00,2022-12-09 10:00:00+00:00,1,2022-12-07 10:00:00+00:00,1.0,1970.3,1999.4,1984.85,ROLLING,False,1986.7402998762884,7.478847646622286,1975.522028406355,1997.9585713462218,-0.0018826315027290288,0.33329428752401935,-0.0032170503669448625,,,-0.00022609003296680252,0.0033818289876536654,,,15.799999999999955,0.007967725668179503,6.400000000000091,0.0032274331820474488,10,2,-0.0002517274841906015,0.011293143316851141,0.33329428752401935,,0.40506329113924744,-0.0104488149268784,-9793.974678517525,48,
ROSN,2022-01-05 14:00:00,2022-01-10 06:00:00+00:00,1,2022-01-05 14:00:00+00:00,1.0,606.5325,616.0,611.26625,ROLLING,False,612.2835606172848,3.1362454885612205,607.579192384443,616.9879288501267,-0.00920090131377244,-0.09875846643510977,-0.011568228105906297,-0.01269427943689494,-0.008741830065359557,-0.00012517479052894797,0.0038899883127049097,,,7.25,0.011950877771367345,7.100000000000023,0.011703618231270127,14,2,-0.002933731223314866,0.015366632506347339,-0.09875846643510977,,0.9793103448275893,-0.003057776312536,-3057.7763125360325,112,
ROSN,2022-01-11 09:00:00,2022-01-13 09:00:00+00:00,1,2022-01-11 09:00:00+00:00,1.0,599.1,608.65,603.875,ROLLING,False,602.1233246313218,2.8865046955718348,597.793567587964,606.4530816746795,-0.002612960778898875,0.31831259634585424,-0.0025743232021260276,-0.002491487417988547,,-0.00028687491872935177,0.002771283770870054,,,2.849999999999909,0.004745649820997268,1.6000000000000227,0.00266422446091087,9,1,-0.0009052335105871813,0.014381628700428908,0.31831259634585424,,0.5614035087719558,0.0272749979185747,27191.597076014867,48,
ROSN,2022-02-01 10:00:00,2022-02-03 10:00:00+00:00,1,2022-02-01 10:00:00+00:00,1.0,571.115,578.8924999999999,575.00375,ROLLING,False,574.2782828342695,4.318086666690658,567.8011528342334,580.7554128343055,-0.003183618271696081,0.35886628535638,-0.005645301372242506,-0.0073695162129356895,,8.561248214318251e-05,0.003822705395546314,,,7.4500000000000455,0.013014237051270932,3.25,0.005677351733775875,10,1,-0.00073727521410217,0.0225574610555324,0.35886628535638,,0.43624161073825235,-0.0016507991964363,-1690.6392883596886,48,
