name,n,n_valid,missing_rate,unique,mean,std,auc,auc_abs,corr
pnl_abs,4744,2062,0.565345699831366,1855,-2349.2023243135004,13935.328474512715,0.5101647572595281,0.5101647572595281,-0.015245260217919375
ret_mean_20,4744,1990,0.5805227655986509,1990,-0.00029721044909516916,0.0010764613914310038,0.509611641035624,0.509611641035624,-0.010583546855446683
bar_range_pct,4744,2062,0.565345699831366,1991,0.005507580386056083,0.010997620208898596,0.5076206140350877,0.5076206140350877,0.022710133474773877
ret_6,4744,1660,0.6500843170320405,1653,-0.001732331463425262,0.011833719121570496,0.5072407776851339,0.5072407776851339,-0.02370212068189194
range_vs_atr,4744,1169,0.7535834738617201,1168,0.8798366693397955,0.4842797086674198,0.5065196262120005,0.5065196262120005,0.014598794090775764
atr_14,4744,1169,0.7535834738617201,1109,8.231536111450568,13.240557289331026,0.5039741322778585,0.5039741322778585,-0.02574465359467495
edge_proximity,4744,2062,0.565345699831366,2062,0.24536081318516614,0.17962320500110424,0.49691186479128857,0.5030881352087114,-0.004133802019648965
bar_body,4744,2062,0.565345699831366,580,3.4660038797284183,8.316437460996264,0.4993619555353902,0.5006380444646098,0.0010891271424441338
direction,4744,4744,0.0,1,1.0,0.0,0.5,0.5,
trade_exit_reason,4744,0,1.0,0,,,,,
