symbol,side,entry_time,exit_time,entry_price,exit_price,pnl,pnl_rel,bars_held,entry_reason,exit_reason,entry_atr_pct,entry_slope_pct_per_bar,entry_geo_class,entry_geo_h_pct,entry_dist_L_pct,entry_dist_U_pct,trend
VKCO,-1,2023-04-20 13:20:00+00:00,2023-04-20 16:10:00+00:00,473.2,477.932,-6987.399411083502,-0.007,17,v3_short,sl,0.0037233828442619,,A,0.0202874049027895,0.729166666666665,0.270833333333335,False
VKCO,-1,2023-07-20 13:20:00+00:00,2023-07-20 16:10:00+00:00,665.8,672.458,-6938.487615205893,-0.007,17,v3_short,sl,0.0044356684981684,,A,0.0213341346153845,0.7464788732394338,0.2535211267605662,False
VKCO,-1,2023-08-01 13:20:00+00:00,2023-08-01 13:50:00+00:00,723.0,730.23,-6889.918201899452,-0.007,3,v3_short,sl,0.0051768425212408,,A,0.0221300138312586,0.7374999999999972,0.2625000000000028,False
VKCO,-1,2024-12-11 23:00:00+00:00,2024-12-11 23:30:00+00:00,254.4,256.944,-7204.9006990203125,-0.007,3,v3_short,sl,0.0046491495262677,7.855459544383124e-05,A,0.0149253731343284,0.8421052631578967,0.1578947368421032,False
VKCO,1,2025-03-05 19:50:00+00:00,2025-03-05 21:30:00+00:00,338.9,335.511,-7301.522915316331,-0.007,10,v3_long,sl,0.0036613051830351,0.0003098259073473,A,0.0153437592210091,0.1538461538461454,0.8461538461538546,True
VKCO,-1,2025-06-24 13:00:00+00:00,2025-06-24 15:20:00+00:00,254.6,257.146,-7550.548669768576,-0.007,14,v3_short,sl,0.0037366510265174,,A,0.0149253731343282,0.8684210526315783,0.1315789473684216,False
VKCO,-1,2025-09-23 12:30:00+00:00,2025-09-23 15:00:00+00:00,298.3,301.283,-7625.752392092436,-0.007,15,v3_short,sl,0.0034224957588669,,A,0.0211267605633803,0.8730158730158715,0.1269841269841285,False
OZON,-1,2023-05-31 13:20:00+00:00,2023-05-31 14:20:00+00:00,1752.5,1770.025,-7125.408302270267,-0.007,6,v3_short,sl,0.0048502139800285,,A,0.023965763195435,0.8452380952380952,0.1547619047619047,False
OZON,-1,2023-06-02 13:20:00+00:00,2023-06-02 17:20:00+00:00,1775.0,1792.75,-7075.530444154339,-0.007,24,v3_short,sl,0.0035824980879925,,A,0.0109890109890109,0.8461538461538461,0.1538461538461538,False
OZON,-1,2023-08-18 13:20:00+00:00,2023-08-18 17:40:00+00:00,2707.0,2734.07,-7088.4773188495055,-0.007,26,v3_short,sl,0.0037015544770345,,A,0.0173559822747415,0.6808510638297872,0.3191489361702128,False
OZON,-1,2023-12-28 13:20:00+00:00,2023-12-28 16:50:00+00:00,2723.0,2750.23,-7095.856009706984,-0.007,21,v3_short,sl,0.0040571498522288,,A,0.0154241645244215,0.7857142857142857,0.2142857142857142,False
OZON,-1,2025-01-28 13:20:00+00:00,2025-01-28 14:10:00+00:00,3419.5,3453.695,-7101.897514149246,-0.007,5,v3_short,sl,0.0059602141777898,,A,0.0298289223570697,0.7107843137254902,0.2892156862745098,False
