strategy,symbol,rsi_low,rsi_high,rsi_len,boll_window,boll_mult,min_gap_bars,total_return,max_drawdown
meanrev,GAZP,20,70,10,14,2.0,15,-0.35809104872917163,0.37851513412346294
meanrev,GAZP,20,70,10,14,2.0,20,-0.3209058537015055,0.3572500072802704
meanrev,GAZP,20,70,10,14,2.0,25,-0.22663707925981047,0.2860111658408798
meanrev,GAZP,20,70,10,14,2.0,30,-0.12478502274708447,0.19855035078717875
meanrev,GAZP,20,70,10,14,2.5,10,-0.25634027312267604,0.27239734054884734
meanrev,GAZP,20,70,10,14,2.5,15,-0.25710464412755785,0.27555716289226484
meanrev,GAZP,20,70,10,14,2.5,20,-0.22589961387537638,0.25198482004244427
meanrev,GAZP,20,70,10,14,2.5,25,-0.20791373805636137,0.24828962893266726
meanrev,GAZP,20,70,10,14,2.5,30,-0.1833857795577879,0.23395605493205235
meanrev,GAZP,20,70,10,20,1.5,10,-0.2326359901862851,0.23741482406114695
meanrev,GAZP,20,70,10,20,1.5,15,-0.23547530816498152,0.250085419040182
meanrev,GAZP,20,70,10,20,1.5,20,-0.19026515997736648,0.24593907420285574
meanrev,GAZP,20,70,10,20,1.5,25,-0.14400705568852257,0.2499470370327532
meanrev,GAZP,20,70,10,20,1.5,30,0.027465831227609927,0.2126799965280811
meanrev,GAZP,20,70,10,20,2.0,10,-0.16234330825395238,0.19892277101721345
meanrev,GAZP,20,70,10,20,2.0,15,-0.16908910251971876,0.20236137660428435
meanrev,GAZP,20,70,10,20,2.0,20,-0.10363701405229209,0.18469506054185808
meanrev,GAZP,20,70,10,20,2.0,25,-0.05261149343285987,0.16216838635106934
meanrev,GAZP,20,70,10,20,2.0,30,-0.059984348625353845,0.2188837109809543
meanrev,GAZP,20,70,10,20,2.5,10,-0.0833129399955338,0.0940153405267591
meanrev,GAZP,20,70,10,20,2.5,15,-0.0792165838274208,0.10033499344617182
meanrev,GAZP,20,70,10,20,2.5,20,-0.07276392886467564,0.10749055019662337
meanrev,GAZP,20,70,10,20,2.5,25,-0.034875988319694406,0.11524434539725693
meanrev,GAZP,20,70,10,20,2.5,30,-0.023980011236111487,0.13791847854937378
meanrev,GAZP,20,70,10,30,1.5,10,-0.1302129432584157,0.13021294325841568
meanrev,GAZP,20,70,10,30,1.5,15,-0.12917951445662945,0.1291795144566294
meanrev,GAZP,20,70,10,30,1.5,20,0.0008573669976168485,0.06079318479445776
meanrev,GAZP,20,70,10,30,1.5,25,0.05126361209586783,0.06725503636392036
meanrev,GAZP,20,70,10,30,1.5,30,-0.030841813587868194,0.10746262339719172
meanrev,GAZP,20,70,10,30,2.0,10,-0.07808829143804252,0.07897252707634644
meanrev,GAZP,20,70,10,30,2.0,15,-0.07018818757229195,0.07645266594188299
meanrev,GAZP,20,70,10,30,2.0,20,0.0414131699704976,0.029790723323064015
meanrev,GAZP,20,70,10,30,2.0,25,0.10885503603296431,0.06510058426701944
meanrev,GAZP,20,70,10,30,2.0,30,0.018605755950107827,0.07251681467132629
meanrev,GAZP,20,70,10,30,2.5,10,-0.030987884738095328,0.04490926611302866
meanrev,GAZP,20,70,10,30,2.5,15,-0.024625856731081086,0.04490926611302866
meanrev,GAZP,20,70,10,30,2.5,20,0.01542078946665093,0.023193371205019086
meanrev,GAZP,20,70,10,30,2.5,25,0.0781683841117713,0.032945592963674754
meanrev,GAZP,20,70,10,30,2.5,30,-0.018831047793477662,0.08849599304579676
meanrev,GAZP,20,70,14,14,1.5,10,-0.36388606695229186,0.3825929208946987
