dt,side,conf
2022-05-27 17:10:00+00:00,1,0.75
2022-05-27 18:20:00+00:00,-1,0.75
2022-05-30 09:50:00+00:00,1,0.75
2022-05-30 11:00:00+00:00,-1,0.75
2022-05-30 17:50:00+00:00,1,0.75
2022-05-31 10:10:00+00:00,-1,0.75
2022-05-31 17:30:00+00:00,1,0.75
2022-05-31 17:50:00+00:00,-1,0.75
2022-06-01 11:10:00+00:00,1,0.75
2022-06-01 17:10:00+00:00,-1,0.75
2022-06-02 15:20:00+00:00,1,0.75
2022-06-02 17:50:00+00:00,-1,0.75
2022-06-03 10:00:00+00:00,1,0.75
2022-06-03 11:00:00+00:00,-1,0.75
2022-06-03 17:50:00+00:00,1,0.75
2022-06-06 12:30:00+00:00,-1,0.75
2022-06-06 14:50:00+00:00,1,0.75
2022-06-06 15:10:00+00:00,-1,0.75
2022-06-06 15:30:00+00:00,1,0.75
2022-06-06 15:40:00+00:00,-1,0.75
2022-06-07 14:40:00+00:00,1,0.75
2022-06-08 14:20:00+00:00,-1,0.75
2022-06-09 16:50:00+00:00,1,0.75
2022-06-09 17:40:00+00:00,-1,0.75
2022-06-10 15:20:00+00:00,1,0.75
2022-06-14 10:30:00+00:00,-1,0.75
2022-06-14 11:10:00+00:00,1,0.75
2022-06-14 13:30:00+00:00,-1,0.75
2022-06-14 17:10:00+00:00,1,0.75
2022-06-14 18:10:00+00:00,-1,0.75
2022-06-14 18:20:00+00:00,1,0.75
2022-06-16 17:10:00+00:00,-1,0.75
2022-06-16 18:40:00+00:00,1,0.75
2022-06-17 12:00:00+00:00,-1,0.75
2022-06-20 10:00:00+00:00,1,0.75
2022-06-20 10:40:00+00:00,-1,0.75
2022-06-20 12:50:00+00:00,1,0.75
2022-06-20 18:30:00+00:00,-1,0.75
2022-06-21 09:50:00+00:00,1,0.75
2022-06-21 10:20:00+00:00,-1,0.75
2022-06-22 13:40:00+00:00,1,0.75
2022-06-22 17:30:00+00:00,-1,0.75
2022-06-22 17:50:00+00:00,1,0.75
2022-06-23 18:00:00+00:00,-1,0.75
2022-06-24 16:20:00+00:00,1,0.75
2022-06-27 11:20:00+00:00,-1,0.75
2022-06-27 12:10:00+00:00,1,0.75
2022-06-27 14:30:00+00:00,-1,0.75
2022-06-27 14:40:00+00:00,1,0.75
2022-06-27 15:30:00+00:00,-1,0.75
2022-06-27 16:00:00+00:00,1,0.75
2022-06-27 16:40:00+00:00,-1,0.75
2022-06-27 16:50:00+00:00,1,0.75
2022-06-28 10:00:00+00:00,-1,0.75
2022-06-29 13:10:00+00:00,1,0.75
2022-06-30 09:50:00+00:00,-1,0.75
2022-06-30 13:30:00+00:00,1,0.75
2022-06-30 16:40:00+00:00,-1,0.75
2022-07-01 12:20:00+00:00,1,0.75
2022-07-01 16:00:00+00:00,-1,0.75
2022-07-01 16:10:00+00:00,1,0.75
2022-07-01 18:10:00+00:00,-1,0.75
2022-07-04 10:00:00+00:00,1,0.75
2022-07-04 11:50:00+00:00,-1,0.75
2022-07-04 12:10:00+00:00,1,0.75
2022-07-04 12:20:00+00:00,-1,0.75
2022-07-04 14:40:00+00:00,1,0.75
2022-07-04 16:40:00+00:00,-1,0.75
2022-07-05 12:30:00+00:00,1,0.75
2022-07-05 17:30:00+00:00,-1,0.75
2022-07-05 17:40:00+00:00,1,0.75
