dt,side,conf
2022-05-04 10:50:00+00:00,1,0.75
2022-05-04 11:10:00+00:00,-1,0.75
2022-05-04 14:30:00+00:00,1,0.75
2022-05-04 18:30:00+00:00,-1,0.75
2022-05-05 10:10:00+00:00,1,0.75
2022-05-05 11:20:00+00:00,-1,0.75
2022-05-05 13:30:00+00:00,1,0.75
2022-05-06 10:00:00+00:00,-1,0.75
2022-05-06 10:20:00+00:00,1,0.75
2022-05-06 11:20:00+00:00,-1,0.75
2022-05-06 14:20:00+00:00,1,0.75
2022-05-11 10:00:00+00:00,-1,0.75
2022-05-11 18:00:00+00:00,1,0.75
2022-05-12 10:10:00+00:00,-1,0.75
2022-05-12 12:20:00+00:00,1,0.75
2022-05-12 16:40:00+00:00,-1,0.75
2022-05-12 17:50:00+00:00,1,0.75
2022-05-13 10:10:00+00:00,-1,0.75
2022-05-13 12:20:00+00:00,1,0.75
2022-05-13 18:30:00+00:00,-1,0.75
2022-05-16 10:40:00+00:00,1,0.75
2022-05-16 15:50:00+00:00,-1,0.75
2022-05-16 18:10:00+00:00,1,0.75
2022-05-17 12:30:00+00:00,-1,0.75
2022-05-18 10:00:00+00:00,1,0.75
2022-05-18 16:00:00+00:00,-1,0.75
2022-05-19 15:40:00+00:00,1,0.75
2022-05-19 16:30:00+00:00,-1,0.75
2022-05-19 17:30:00+00:00,1,0.75
2022-05-19 18:10:00+00:00,-1,0.75
2022-05-19 18:40:00+00:00,1,0.75
2022-05-20 10:10:00+00:00,-1,0.75
2022-05-24 10:30:00+00:00,1,0.75
2022-05-24 11:20:00+00:00,-1,0.75
2022-05-24 13:40:00+00:00,1,0.75
2022-05-25 11:30:00+00:00,-1,0.75
2022-05-25 13:10:00+00:00,1,0.75
2022-05-25 14:00:00+00:00,-1,0.75
2022-05-25 16:00:00+00:00,1,0.75
2022-05-25 17:20:00+00:00,-1,0.75
2022-05-25 17:50:00+00:00,1,0.75
2022-05-26 13:50:00+00:00,-1,0.75
2022-05-27 10:00:00+00:00,1,0.75
2022-05-27 12:40:00+00:00,-1,0.75
2022-05-30 09:50:00+00:00,1,0.75
2022-05-30 10:30:00+00:00,-1,0.75
2022-05-30 14:50:00+00:00,1,0.75
2022-05-31 12:30:00+00:00,-1,0.75
2022-05-31 14:00:00+00:00,1,0.75
2022-06-01 17:30:00+00:00,-1,0.75
2022-06-01 17:50:00+00:00,1,0.75
2022-06-02 10:30:00+00:00,-1,0.75
2022-06-02 15:10:00+00:00,1,0.75
2022-06-02 16:50:00+00:00,-1,0.75
2022-06-02 18:30:00+00:00,1,0.75
2022-06-02 18:40:00+00:00,-1,0.75
2022-06-03 09:50:00+00:00,1,0.75
2022-06-03 11:40:00+00:00,-1,0.75
2022-06-03 14:20:00+00:00,1,0.75
2022-06-06 15:40:00+00:00,-1,0.75
2022-06-07 14:10:00+00:00,1,0.75
2022-06-08 14:40:00+00:00,-1,0.75
2022-06-09 09:50:00+00:00,1,0.75
2022-06-09 10:00:00+00:00,-1,0.75
2022-06-09 15:40:00+00:00,1,0.75
2022-06-10 09:50:00+00:00,-1,0.75
2022-06-10 18:40:00+00:00,1,0.75
2022-06-14 09:50:00+00:00,-1,0.75
2022-06-14 16:30:00+00:00,1,0.75
2022-06-14 17:40:00+00:00,-1,0.75
2022-06-14 18:00:00+00:00,1,0.75
2022-06-14 18:20:00+00:00,-1,0.75
